iborg@iborg-desktop:~$,cmgui,,,,,,,,,,,,
Traceback,(most,recent,call,last):,,,,,,,,,
,File,/home/iborg/anaconda2/envs/cellmodeller/lib/python2.7/site-packages/CellModeller/GUI/PyGLCMViewer.py,line,118,in,toggleSavePickles,,,,,,,
,self.sim.setSaveOutput(save),,,,,,,,,,,,
AttributeError:,'NoneType',object,has,no,attribute,'setSaveOutput',,,,,,,
iborg@iborg-desktop:~$,cmgui,,,,,,,,,,,,
Set,up,OpenCL,context:,,,,,,,,,,
,Platform:,NVIDIA,CUDA,,,,,,,,,,
,Device:,GeForce,GTX,TITAN,X,,,,,,,,
Importing,model,StaphAureus,,,,,,,,,,,
,Cells,Contacts,,,,,,,,,,,
,0,1,cells,2,cts,1,iterations,residual,=,0,,,
,,Cells,,Contacts,,Hours,,,,,,,
,230,5420,cells,20106,cts,3,iterations,residual,=,0.135477,,,
,240,6289,cells,23623,contacts,0.03066,hour(s),or,1.839628,minute(s),or,110.377693,second(s)
,240,6398,cells,22600,cts,13,iterations,residual,=,0.125018,,,
,240,6398,cells,23704,cts,8,iterations,residual,=,0.115537,,,
,240,6398,cells,23869,cts,5,iterations,residual,=,0.127184,,,
,240,6398,cells,23928,cts,4,iterations,residual,=,0.152142,,,
,240,6398,cells,23973,cts,4,iterations,residual,=,0.11647,,,
,240,6398,cells,24008,cts,4,iterations,residual,=,0.119403,,,
,240,6398,cells,24034,cts,4,iterations,residual,=,0.110235,,,
,250,7363,cells,28077,contacts,0.035208,hour(s),or,2.112498,minute(s),or,126.749893,second(s)
,250,7500,cells,26867,cts,13,iterations,residual,=,0.151167,,,
,250,7500,cells,28198,cts,8,iterations,residual,=,0.155553,,,
,250,7500,cells,28385,cts,6,iterations,residual,=,0.134165,,,
,250,7500,cells,28470,cts,5,iterations,residual,=,0.152176,,,
,250,7500,cells,28511,cts,5,iterations,residual,=,0.125891,,,
,250,7500,cells,28555,cts,4,iterations,residual,=,0.148451,,,
