iborg@iborg-desktop:~$,cmgui,,,,,,,,,,,,
Traceback,(most,recent,call,last):,,,,,,,,,
,File,/home/iborg/anaconda2/envs/cellmodeller/lib/python2.7/site-packages/CellModeller/GUI/PyGLCMViewer.py,line,118,in,toggleSavePickles,,,,,,,
,self.sim.setSaveOutput(save),,,,,,,,,,,,
AttributeError:,'NoneType',object,has,no,attribute,'setSaveOutput',,,,,,,
iborg@iborg-desktop:~$,cmgui,,,,,,,,,,,,
Set,up,OpenCL,context:,,,,,,,,,,
,Platform:,NVIDIA,CUDA,,,,,,,,,,
,Device:,GeForce,GTX,TITAN,X,,,,,,,,
Importing,model,StaphAureus,,,,,,,,,,,
,Cells,Contacts,,,,,,,,,,,
,0,1,cells,2,cts,1,iterations,residual,=,0,,,
,,Cells,,Contacts,,Hours,,,,,,,
,1830,272768,cells,1412421,contacts,31.830929,hour(s),or,1909.855729,minute(s),or,114591.34375,second(s)
,1830,272917,cells,1379204,cts,15,iterations,residual,=,6.133971,,,
,1830,272917,cells,1404695,cts,9,iterations,residual,=,6.138301,,,
,1830,272917,cells,1408719,cts,7,iterations,residual,=,6.111558,,,
,1830,272917,cells,1410512,cts,7,iterations,residual,=,5.744399,,,
,1830,272917,cells,1411627,cts,6,iterations,residual,=,6.737164,,,
,1830,272917,cells,1412342,cts,6,iterations,residual,=,6.291031,,,
,1830,272917,cells,1412771,cts,6,iterations,residual,=,6.187918,,,
,1840,274403,cells,1420531,contacts,32.533712,hour(s),or,1952.022656,minute(s),or,117121.359375,second(s)
,1840,274562,cells,1386111,cts,15,iterations,residual,=,5.767615,,,
,1840,274562,cells,1412999,cts,9,iterations,residual,=,6.066622,,,
,1840,274562,cells,1417022,cts,7,iterations,residual,=,6.189013,,,
,1840,274562,cells,1418894,cts,7,iterations,residual,=,5.675183,,,
,1840,274562,cells,1420027,cts,7,iterations,residual,=,5.178308,,,
,1840,274562,cells,1420724,cts,7,iterations,residual,=,5.377482,,,
,1840,274562,cells,1421156,cts,6,iterations,residual,=,6.862027,,,
,1850,275996,cells,1429068,contacts,32.954696,hour(s),or,1977.281771,minute(s),or,118636.90625,second(s)
,1850,276139,cells,1394137,cts,16,iterations,residual,=,5.488412,,,
,1850,276139,cells,1421272,cts,9,iterations,residual,=,6.028096,,,
,1850,276139,cells,1425353,cts,7,iterations,residual,=,6.568622,,,
,1850,276139,cells,1427163,cts,7,iterations,residual,=,5.904181,,,
,1850,276139,cells,1428318,cts,7,iterations,residual,=,5.544677,,,
,1850,276139,cells,1429037,cts,7,iterations,residual,=,5.410034,,,
,1850,276139,cells,1429448,cts,7,iterations,residual,=,5.231481,,,
,1860,277604,cells,1437657,contacts,33.385024,hour(s),or,2003.101432,minute(s),or,120186.085938,second(s)
,1860,277763,cells,1403727,cts,15,iterations,residual,=,6.528999,,,
,1860,277763,cells,1430048,cts,9,iterations,residual,=,6.072456,,,
,1860,277763,cells,1434076,cts,7,iterations,residual,=,6.030224,,,
,1860,277763,cells,1435941,cts,7,iterations,residual,=,5.26586,,,
,1860,277763,cells,1437007,cts,7,iterations,residual,=,5.106678,,,
,1860,277763,cells,1437726,cts,6,iterations,residual,=,6.563727,,,
,1860,277763,cells,1438195,cts,6,iterations,residual,=,6.560773,,,
,1870,279192,cells,1446046,contacts,33.968081,hour(s),or,2038.084896,minute(s),or,122285.09375,second(s)
,1870,279364,cells,1412113,cts,15,iterations,residual,=,6.634606,,,
,1870,279364,cells,1438419,cts,9,iterations,residual,=,6.510605,,,
,1870,279364,cells,1442543,cts,7,iterations,residual,=,6.585055,,,
,1870,279364,cells,1444442,cts,7,iterations,residual,=,5.815367,,,
,1870,279364,cells,1445570,cts,7,iterations,residual,=,5.587325,,,
,1870,279364,cells,1446301,cts,7,iterations,residual,=,5.236039,,,
,1870,279364,cells,1446735,cts,6,iterations,residual,=,6.879941,,,
,1880,280851,cells,1454653,contacts,34.503589,hour(s),or,2070.215234,minute(s),or,124212.914062,second(s)
,1880,280993,cells,1420294,cts,15,iterations,residual,=,6.019753,,,
,1880,280993,cells,1446899,cts,9,iterations,residual,=,5.933402,,,
,1880,280993,cells,1450979,cts,7,iterations,residual,=,6.390597,,,
,1880,280993,cells,1452850,cts,6,iterations,residual,=,6.962776,,,
,1880,280993,cells,1454011,cts,6,iterations,residual,=,6.624115,,,
,1880,280993,cells,1454698,cts,6,iterations,residual,=,6.771938,,,
,1880,280993,cells,1455128,cts,6,iterations,residual,=,6.2377,,,
,1890,282495,cells,1463234,contacts,35.140686,hour(s),or,2108.441146,minute(s),or,126506.46875,second(s)
,1890,282662,cells,1429082,cts,15,iterations,residual,=,6.63836,,,
,1890,282662,cells,1455616,cts,9,iterations,residual,=,6.066493,,,
,1890,282662,cells,1459648,cts,7,iterations,residual,=,5.980789,,,
,1890,282662,cells,1461609,cts,6,iterations,residual,=,6.964664,,,
,1890,282662,cells,1462771,cts,6,iterations,residual,=,6.602575,,,
,1890,282662,cells,1463501,cts,6,iterations,residual,=,6.940391,,,
,1890,282662,cells,1463924,cts,6,iterations,residual,=,6.570944,,,
,1900,284140,cells,1472168,contacts,35.671704,hour(s),or,2140.302214,minute(s),or,128418.132812,second(s)
,1900,284304,cells,1437516,cts,16,iterations,residual,=,5.255272,,,
,1900,284304,cells,1464472,cts,9,iterations,residual,=,6.227985,,,
,1900,284304,cells,1468507,cts,7,iterations,residual,=,6.338358,,,
,1900,284304,cells,1470426,cts,6,iterations,residual,=,7.052955,,,
,1900,284304,cells,1471647,cts,6,iterations,residual,=,6.613826,,,
,1900,284304,cells,1472345,cts,6,iterations,residual,=,6.520327,,,
,1900,284304,cells,1472767,cts,6,iterations,residual,=,6.394568,,,
,1910,285803,cells,1480853,contacts,36.224605,hour(s),or,2173.476432,minute(s),or,130408.585938,second(s)
,1910,285971,cells,1446206,cts,15,iterations,residual,=,6.492515,,,
,1910,285971,cells,1473058,cts,9,iterations,residual,=,6.508468,,,
,1910,285971,cells,1477213,cts,7,iterations,residual,=,6.308257,,,
,1910,285971,cells,1479149,cts,7,iterations,residual,=,5.522724,,,
,1910,285971,cells,1480320,cts,6,iterations,residual,=,6.775908,,,
,1910,285971,cells,1481054,cts,6,iterations,residual,=,6.493318,,,
,1910,285971,cells,1481491,cts,6,iterations,residual,=,6.689449,,,
,1920,287413,cells,1489373,contacts,36.857365,hour(s),or,2211.441927,minute(s),or,132686.515625,second(s)
,1920,287558,cells,1454649,cts,15,iterations,residual,=,6.312838,,,
,1920,287558,cells,1481591,cts,9,iterations,residual,=,6.301356,,,
,1920,287558,cells,1485674,cts,7,iterations,residual,=,5.962468,,,
,1920,287558,cells,1487605,cts,7,iterations,residual,=,5.721022,,,
,1920,287558,cells,1488812,cts,7,iterations,residual,=,5.253363,,,
,1920,287558,cells,1489522,cts,6,iterations,residual,=,6.548764,,,
,1920,287558,cells,1489976,cts,6,iterations,residual,=,6.218543,,,
,1930,288987,cells,1497987,contacts,37.516919,hour(s),or,2251.015104,minute(s),or,135060.90625,second(s)
,1930,289169,cells,1463041,cts,15,iterations,residual,=,7.030879,,,
,1930,289169,cells,1490105,cts,9,iterations,residual,=,6.331118,,,
,1930,289169,cells,1494154,cts,7,iterations,residual,=,6.206964,,,
,1930,289169,cells,1496095,cts,7,iterations,residual,=,5.514019,,,
,1930,289169,cells,1497267,cts,6,iterations,residual,=,7.063315,,,
,1930,289169,cells,1498044,cts,6,iterations,residual,=,6.428143,,,
,1930,289169,cells,1498477,cts,6,iterations,residual,=,6.402393,,,
,1940,290607,cells,1506284,contacts,38.291097,hour(s),or,2297.465885,minute(s),or,137847.953125,second(s)
,1940,290769,cells,1470919,cts,15,iterations,residual,=,6.043808,,,
,1940,290769,cells,1498265,cts,9,iterations,residual,=,6.099082,,,
,1940,290769,cells,1502455,cts,7,iterations,residual,=,6.248851,,,
,1940,290769,cells,1504398,cts,7,iterations,residual,=,5.720611,,,
,1940,290769,cells,1505581,cts,6,iterations,residual,=,7.163852,,,
,1940,290769,cells,1506335,cts,6,iterations,residual,=,6.816253,,,
,1940,290769,cells,1506760,cts,6,iterations,residual,=,6.76294,,,
,1950,292245,cells,1514648,contacts,38.839103,hour(s),or,2330.346094,minute(s),or,139820.765625,second(s)
,1950,292423,cells,1478964,cts,15,iterations,residual,=,7.253443,,,
,1950,292423,cells,1506754,cts,9,iterations,residual,=,6.196915,,,
,1950,292423,cells,1510977,cts,7,iterations,residual,=,6.196526,,,
,1950,292423,cells,1512915,cts,6,iterations,residual,=,7.166636,,,
,1950,292423,cells,1514078,cts,6,iterations,residual,=,6.895043,,,
,1950,292423,cells,1514868,cts,6,iterations,residual,=,6.966915,,,
,1950,292423,cells,1515342,cts,6,iterations,residual,=,6.680903,,,
,1960,293897,cells,1523225,contacts,39.401542,hour(s),or,2364.092448,minute(s),or,141845.546875,second(s)
,1960,294063,cells,1487154,cts,15,iterations,residual,=,6.615154,,,
,1960,294063,cells,1515032,cts,9,iterations,residual,=,6.609042,,,
,1960,294063,cells,1519315,cts,7,iterations,residual,=,6.515074,,,
,1960,294063,cells,1521283,cts,7,iterations,residual,=,5.81125,,,
,1960,294063,cells,1522456,cts,7,iterations,residual,=,5.460437,,,
,1960,294063,cells,1523177,cts,6,iterations,residual,=,6.407337,,,
,1960,294063,cells,1523663,cts,6,iterations,residual,=,6.676256,,,
,1970,295533,cells,1531569,contacts,40.043648,hour(s),or,2402.61901,minute(s),or,144157.140625,second(s)
,1970,295705,cells,1495472,cts,15,iterations,residual,=,6.622667,,,
,1970,295705,cells,1523556,cts,9,iterations,residual,=,6.542501,,,
,1970,295705,cells,1527791,cts,7,iterations,residual,=,6.813249,,,
,1970,295705,cells,1529811,cts,6,iterations,residual,=,7.277895,,,
,1970,295705,cells,1530964,cts,7,iterations,residual,=,5.957778,,,
,1970,295705,cells,1531694,cts,6,iterations,residual,=,6.689799,,,
,1970,295705,cells,1532193,cts,6,iterations,residual,=,6.712264,,,
,1980,297208,cells,1540370,contacts,40.69884,hour(s),or,2441.930469,minute(s),or,146515.828125,second(s)
,1980,297367,cells,1503989,cts,16,iterations,residual,=,5.774095,,,
,1980,297367,cells,1532102,cts,9,iterations,residual,=,6.443972,,,
,1980,297367,cells,1536337,cts,7,iterations,residual,=,6.536291,,,
,1980,297367,cells,1538375,cts,6,iterations,residual,=,7.091601,,,
,1980,297367,cells,1539563,cts,6,iterations,residual,=,7.399051,,,
,1980,297367,cells,1540318,cts,6,iterations,residual,=,7.12561,,,
,1980,297367,cells,1540822,cts,6,iterations,residual,=,6.941289,,,
,1990,298876,cells,1549020,contacts,41.261918,hour(s),or,2475.715104,minute(s),or,148542.90625,second(s)
,1990,299050,cells,1512385,cts,16,iterations,residual,=,5.846509,,,
,1990,299050,cells,1540647,cts,9,iterations,residual,=,6.306949,,,
,1990,299050,cells,1544862,cts,7,iterations,residual,=,6.67463,,,
,1990,299050,cells,1546878,cts,6,iterations,residual,=,7.311492,,,
,1990,299050,cells,1548083,cts,6,iterations,residual,=,7.18303,,,
,1990,299050,cells,1548853,cts,6,iterations,residual,=,7.124222,,,
,1990,299050,cells,1549302,cts,6,iterations,residual,=,6.800253,,,
,2000,300540,cells,1557688,contacts,41.796708,hour(s),or,2507.802604,minute(s),or,150468.15625,second(s)
,2000,300687,cells,1521311,cts,16,iterations,residual,=,6.784972,,,
,2000,300687,cells,1549480,cts,9,iterations,residual,=,6.387826,,,
,2000,300687,cells,1553729,cts,7,iterations,residual,=,6.696851,,,
,2000,300687,cells,1555699,cts,7,iterations,residual,=,5.907635,,,
,2000,300687,cells,1556888,cts,7,iterations,residual,=,5.415118,,,
,2000,300687,cells,1557640,cts,6,iterations,residual,=,7.349084,,,
,2000,300687,cells,1558130,cts,6,iterations,residual,=,6.613985,,,
,2010,302216,cells,1566361,contacts,42.310315,hour(s),or,2538.61901,minute(s),or,152317.140625,second(s)
,2010,302378,cells,1529773,cts,16,iterations,residual,=,5.78106,,,
,2010,302378,cells,1558106,cts,9,iterations,residual,=,6.369882,,,
,2010,302378,cells,1562459,cts,7,iterations,residual,=,6.761295,,,
,2010,302378,cells,1564447,cts,7,iterations,residual,=,6.087715,,,
,2010,302378,cells,1565633,cts,6,iterations,residual,=,6.848258,,,
,2010,302378,cells,1566386,cts,6,iterations,residual,=,6.549213,,,
,2010,302378,cells,1566829,cts,6,iterations,residual,=,6.718629,,,
,2020,303824,cells,1575028,contacts,42.884969,hour(s),or,2573.098177,minute(s),or,154385.890625,second(s)
,2020,304010,cells,1538174,cts,16,iterations,residual,=,5.848147,,,
,2020,304010,cells,1566869,cts,9,iterations,residual,=,6.388193,,,
,2020,304010,cells,1571193,cts,7,iterations,residual,=,6.258801,,,
,2020,304010,cells,1573194,cts,7,iterations,residual,=,5.775977,,,
,2020,304010,cells,1574364,cts,6,iterations,residual,=,7.113483,,,
,2020,304010,cells,1575174,cts,6,iterations,residual,=,6.7243,,,
,2020,304010,cells,1575647,cts,6,iterations,residual,=,6.932499,,,
,2030,305488,cells,1583828,contacts,43.461353,hour(s),or,2607.68125,minute(s),or,156460.875,second(s)
,2030,305655,cells,1547038,cts,15,iterations,residual,=,6.194195,,,
,2030,305655,cells,1575465,cts,9,iterations,residual,=,6.423062,,,
,2030,305655,cells,1579826,cts,7,iterations,residual,=,6.91794,,,
,2030,305655,cells,1581879,cts,7,iterations,residual,=,6.243132,,,
,2030,305655,cells,1583113,cts,6,iterations,residual,=,6.664964,,,
,2030,305655,cells,1583864,cts,6,iterations,residual,=,6.546371,,,
,2030,305655,cells,1584336,cts,6,iterations,residual,=,6.883216,,,
,2040,307156,cells,1592805,contacts,43.947286,hour(s),or,2636.83724,minute(s),or,158210.234375,second(s)
,2040,307308,cells,1555597,cts,15,iterations,residual,=,7.617748,,,
,2040,307308,cells,1584329,cts,9,iterations,residual,=,6.793245,,,
,2040,307308,cells,1588732,cts,7,iterations,residual,=,7.229122,,,
,2040,307308,cells,1590840,cts,6,iterations,residual,=,7.5356,,,
,2040,307308,cells,1592082,cts,6,iterations,residual,=,7.442915,,,
,2040,307308,cells,1592873,cts,6,iterations,residual,=,7.39917,,,
,2040,307308,cells,1593329,cts,6,iterations,residual,=,7.285913,,,
,2050,308810,cells,1601375,contacts,44.4868,hour(s),or,2669.208073,minute(s),or,160152.484375,second(s)
,2050,308988,cells,1564354,cts,15,iterations,residual,=,6.887107,,,
,2050,308988,cells,1593079,cts,9,iterations,residual,=,6.389406,,,
,2050,308988,cells,1597482,cts,7,iterations,residual,=,6.645768,,,
,2050,308988,cells,1599523,cts,6,iterations,residual,=,7.557018,,,
,2050,308988,cells,1600774,cts,6,iterations,residual,=,7.400412,,,
,2050,308988,cells,1601535,cts,6,iterations,residual,=,7.204235,,,
,2050,308988,cells,1602023,cts,6,iterations,residual,=,7.533887,,,
,2060,310474,cells,1610300,contacts,44.970447,hour(s),or,2698.226823,minute(s),or,161893.609375,second(s)
,2060,310659,cells,1572727,cts,15,iterations,residual,=,7.086122,,,
,2060,310659,cells,1601692,cts,9,iterations,residual,=,6.739837,,,
,2060,310659,cells,1606105,cts,7,iterations,residual,=,6.916614,,,
,2060,310659,cells,1608239,cts,6,iterations,residual,=,7.656441,,,
,2060,310659,cells,1609475,cts,6,iterations,residual,=,7.360991,,,
,2060,310659,cells,1610266,cts,6,iterations,residual,=,7.138349,,,
,2060,310659,cells,1610780,cts,6,iterations,residual,=,6.949488,,,
,2070,312143,cells,1618793,contacts,45.880347,hour(s),or,2752.820833,minute(s),or,165169.25,second(s)
,2070,312302,cells,1580883,cts,15,iterations,residual,=,7.183316,,,
,2070,312302,cells,1610362,cts,9,iterations,residual,=,7.05656,,,
,2070,312302,cells,1614784,cts,7,iterations,residual,=,7.047964,,,
,2070,312302,cells,1616904,cts,6,iterations,residual,=,7.80511,,,
,2070,312302,cells,1618135,cts,6,iterations,residual,=,7.364228,,,
,2070,312302,cells,1618899,cts,6,iterations,residual,=,7.667667,,,
,2070,312302,cells,1619381,cts,6,iterations,residual,=,7.488173,,,
,2080,313807,cells,1627548,contacts,46.703247,hour(s),or,2802.194792,minute(s),or,168131.6875,second(s)
,2080,313950,cells,1589577,cts,16,iterations,residual,=,6.015419,,,
,2080,313950,cells,1618839,cts,9,iterations,residual,=,6.790802,,,
,2080,313950,cells,1623249,cts,7,iterations,residual,=,6.879309,,,
,2080,313950,cells,1625317,cts,7,iterations,residual,=,6.287057,,,
,2080,313950,cells,1626534,cts,6,iterations,residual,=,7.678952,,,
,2080,313950,cells,1627345,cts,6,iterations,residual,=,7.291508,,,
,2080,313950,cells,1627849,cts,6,iterations,residual,=,7.438481,,,
,2090,315384,cells,1636104,contacts,47.223063,hour(s),or,2833.383854,minute(s),or,170003.03125,second(s)
,2090,315543,cells,1598306,cts,15,iterations,residual,=,7.600571,,,
,2090,315543,cells,1627502,cts,9,iterations,residual,=,6.838272,,,
,2090,315543,cells,1631977,cts,7,iterations,residual,=,6.805935,,,
,2090,315543,cells,1634110,cts,7,iterations,residual,=,6.342556,,,
,2090,315543,cells,1635310,cts,6,iterations,residual,=,7.246877,,,
,2090,315543,cells,1636118,cts,6,iterations,residual,=,7.182162,,,
,2090,315543,cells,1636602,cts,6,iterations,residual,=,7.340357,,,
,2100,317062,cells,1644934,contacts,47.885555,hour(s),or,2873.133333,minute(s),or,172388,second(s)
,2100,317242,cells,1606801,cts,16,iterations,residual,=,6.026725,,,
,2100,317242,cells,1636354,cts,9,iterations,residual,=,6.846314,,,
,2100,317242,cells,1640882,cts,7,iterations,residual,=,7.137733,,,
,2100,317242,cells,1643001,cts,7,iterations,residual,=,6.477514,,,
,2100,317242,cells,1644200,cts,7,iterations,residual,=,5.881207,,,
,2100,317242,cells,1644969,cts,6,iterations,residual,=,6.783082,,,
,2100,317242,cells,1645469,cts,6,iterations,residual,=,7.132083,,,
,2110,318763,cells,1653894,contacts,48.471578,hour(s),or,2908.294792,minute(s),or,174497.6875,second(s)
,2110,318919,cells,1615291,cts,15,iterations,residual,=,7.086092,,,
,2110,318919,cells,1645077,cts,9,iterations,residual,=,7.065651,,,
,2110,318919,cells,1649591,cts,7,iterations,residual,=,7.297528,,,
,2110,318919,cells,1651759,cts,7,iterations,residual,=,6.45682,,,
,2110,318919,cells,1653038,cts,7,iterations,residual,=,5.943774,,,
,2110,318919,cells,1653835,cts,6,iterations,residual,=,6.926545,,,
,2110,318919,cells,1654326,cts,6,iterations,residual,=,6.779352,,,
,2120,320397,cells,1662485,contacts,49.116528,hour(s),or,2946.991667,minute(s),or,176819.5,second(s)
,2120,320572,cells,1624084,cts,15,iterations,residual,=,7.318843,,,
,2120,320572,cells,1653825,cts,9,iterations,residual,=,7.02108,,,
,2120,320572,cells,1658380,cts,7,iterations,residual,=,7.391113,,,
,2120,320572,cells,1660535,cts,7,iterations,residual,=,6.604657,,,
,2120,320572,cells,1661767,cts,7,iterations,residual,=,5.928928,,,
,2120,320572,cells,1662541,cts,6,iterations,residual,=,7.100461,,,
,2120,320572,cells,1663045,cts,6,iterations,residual,=,6.877889,,,
,2130,322102,cells,1671274,contacts,49.781702,hour(s),or,2986.902083,minute(s),or,179214.125,second(s)
,2130,322252,cells,1632200,cts,15,iterations,residual,=,6.342673,,,
,2130,322252,cells,1662314,cts,9,iterations,residual,=,7.282135,,,
,2130,322252,cells,1666848,cts,7,iterations,residual,=,6.917569,,,
,2130,322252,cells,1669029,cts,6,iterations,residual,=,7.804942,,,
,2130,322252,cells,1670351,cts,6,iterations,residual,=,7.47811,,,
,2130,322252,cells,1671140,cts,6,iterations,residual,=,7.352849,,,
,2130,322252,cells,1671625,cts,6,iterations,residual,=,7.214635,,,
,2140,323818,cells,1679947,contacts,50.532385,hour(s),or,3031.943229,minute(s),or,181916.59375,second(s)
,2140,323976,cells,1640574,cts,15,iterations,residual,=,6.501897,,,
,2140,323976,cells,1670991,cts,9,iterations,residual,=,6.793662,,,
,2140,323976,cells,1675506,cts,7,iterations,residual,=,7.379322,,,
,2140,323976,cells,1677671,cts,7,iterations,residual,=,6.755449,,,
,2140,323976,cells,1678959,cts,7,iterations,residual,=,5.928021,,,
,2140,323976,cells,1679795,cts,6,iterations,residual,=,7.633218,,,
,2140,323976,cells,1680322,cts,6,iterations,residual,=,7.087203,,,
,2150,325431,cells,1688385,contacts,51.193404,hour(s),or,3071.604167,minute(s),or,184296.25,second(s)
,2150,325603,cells,1649113,cts,15,iterations,residual,=,6.796434,,,
,2150,325603,cells,1679558,cts,9,iterations,residual,=,7.289105,,,
,2150,325603,cells,1684133,cts,7,iterations,residual,=,7.015161,,,
,2150,325603,cells,1686337,cts,7,iterations,residual,=,6.456767,,,
,2150,325603,cells,1687636,cts,6,iterations,residual,=,7.244022,,,
,2150,325603,cells,1688455,cts,6,iterations,residual,=,7.448488,,,
,2150,325603,cells,1688949,cts,6,iterations,residual,=,7.503864,,,
,,,,,,,,,,,,,
,2160,327129,cells,1697317,contacts,51.815336,hour(s),or,3108.920052,minute(s),or,186535.203125,second(s)
,2160,327300,cells,1657982,cts,15,iterations,residual,=,7.206544,,,
,2160,327300,cells,1688264,cts,9,iterations,residual,=,7.263446,,,
,2160,327300,cells,1692862,cts,7,iterations,residual,=,7.12501,,,
,2160,327300,cells,1695037,cts,7,iterations,residual,=,6.284585,,,
,2160,327300,cells,1696312,cts,7,iterations,residual,=,5.936069,,,
,2160,327300,cells,1697088,cts,6,iterations,residual,=,7.69081,,,
,2160,327300,cells,1697630,cts,6,iterations,residual,=,7.263048,,,
,2170,328807,cells,1706060,contacts,52.832349,hour(s),or,3169.940885,minute(s),or,190196.453125,second(s)
,2170,328962,cells,1666278,cts,15,iterations,residual,=,6.62932,,,
,2170,328962,cells,1697022,cts,9,iterations,residual,=,7.114711,,,
,2170,328962,cells,1701648,cts,7,iterations,residual,=,6.717838,,,
,2170,328962,cells,1703837,cts,7,iterations,residual,=,6.36637,,,
,2170,328962,cells,1705076,cts,7,iterations,residual,=,5.965761,,,
,2170,328962,cells,1705873,cts,6,iterations,residual,=,7.857531,,,
,2170,328962,cells,1706380,cts,6,iterations,residual,=,7.552987,,,
,2180,330469,cells,1714992,contacts,53.808101,hour(s),or,3228.486198,minute(s),or,193709.171875,second(s)
,2180,330638,cells,1675248,cts,15,iterations,residual,=,6.757079,,,
,2180,330638,cells,1705977,cts,9,iterations,residual,=,6.919925,,,
,2180,330638,cells,1710737,cts,7,iterations,residual,=,7.130157,,,
,2180,330638,cells,1712916,cts,7,iterations,residual,=,6.254379,,,
,2180,330638,cells,1714158,cts,7,iterations,residual,=,6.168777,,,
,2180,330638,cells,1714979,cts,6,iterations,residual,=,8.061393,,,
,2180,330638,cells,1715500,cts,6,iterations,residual,=,7.758565,,,
,2190,332087,cells,1724025,contacts,54.645874,hour(s),or,3278.752344,minute(s),or,196725.140625,second(s)
,2190,332266,cells,1683621,cts,15,iterations,residual,=,6.456309,,,
,2190,332266,cells,1714895,cts,9,iterations,residual,=,7.552758,,,
,2190,332266,cells,1719565,cts,7,iterations,residual,=,7.260907,,,
,2190,332266,cells,1721773,cts,7,iterations,residual,=,6.808928,,,
,2190,332266,cells,1723026,cts,6,iterations,residual,=,7.517379,,,
,2190,332266,cells,1723863,cts,6,iterations,residual,=,7.518071,,,
,2190,332266,cells,1724406,cts,6,iterations,residual,=,7.842674,,,
,2200,333823,cells,1732770,contacts,55.324174,hour(s),or,3319.450521,minute(s),or,199167.03125,second(s)
,2200,333985,cells,1692568,cts,15,iterations,residual,=,7.209057,,,
,2200,333985,cells,1723483,cts,9,iterations,residual,=,7.48533,,,
,2200,333985,cells,1728254,cts,7,iterations,residual,=,7.525369,,,
,2200,333985,cells,1730518,cts,7,iterations,residual,=,6.41995,,,
,2200,333985,cells,1731809,cts,7,iterations,residual,=,6.101381,,,
,2200,333985,cells,1732640,cts,6,iterations,residual,=,7.879668,,,
,2200,333985,cells,1733194,cts,6,iterations,residual,=,7.584049,,,
,2210,335493,cells,1741518,contacts,56.176546,hour(s),or,3370.592708,minute(s),or,202235.5625,second(s)
,2210,335672,cells,1700783,cts,15,iterations,residual,=,6.530762,,,
,2210,335672,cells,1732366,cts,9,iterations,residual,=,7.081834,,,
,2210,335672,cells,1737051,cts,7,iterations,residual,=,7.572341,,,
,2210,335672,cells,1739260,cts,7,iterations,residual,=,6.92964,,,
,2210,335672,cells,1740552,cts,6,iterations,residual,=,7.846865,,,
,2210,335672,cells,1741412,cts,7,iterations,residual,=,6.728819,,,
,2210,335672,cells,1741916,cts,6,iterations,residual,=,7.288888,,,
,2220,337166,cells,1750275,contacts,56.897868,hour(s),or,3413.872135,minute(s),or,204832.328125,second(s)
,2220,337347,cells,1709439,cts,15,iterations,residual,=,6.872925,,,
,2220,337347,cells,1741060,cts,9,iterations,residual,=,7.380786,,,
,2220,337347,cells,1745789,cts,7,iterations,residual,=,7.389501,,,
,2220,337347,cells,1748001,cts,7,iterations,residual,=,6.554827,,,
,2220,337347,cells,1749352,cts,7,iterations,residual,=,6.098791,,,
,2220,337347,cells,1750207,cts,6,iterations,residual,=,8.112284,,,
,2220,337347,cells,1750751,cts,6,iterations,residual,=,7.440876,,,
,2230,338803,cells,1758783,contacts,57.750183,hour(s),or,3465.010938,minute(s),or,207900.65625,second(s)
,2230,338971,cells,1718060,cts,15,iterations,residual,=,6.588724,,,
,2230,338971,cells,1749467,cts,9,iterations,residual,=,7.25016,,,
,2230,338971,cells,1754145,cts,7,iterations,residual,=,7.836621,,,
,2230,338971,cells,1756388,cts,6,iterations,residual,=,8.39773,,,
,2230,338971,cells,1757725,cts,6,iterations,residual,=,8.185903,,,
,2230,338971,cells,1758561,cts,6,iterations,residual,=,8.316805,,,
,2230,338971,cells,1759082,cts,6,iterations,residual,=,7.986687,,,
/home/iborg/cellmodeller/bin/cmgui:,line,4:,15326,Segmentation,fault,(core,dumped),python,$CMPATH/Scripts/CellModellerGUI.py,$1,,,
iborg@iborg-desktop:~$,,,,,,,,,,,,,
